Sr No, Restaurant Name, Address, average_cost_for_two, Ratings
0,"Teddy Boy","10th Floor, Deron Heights, Above Ranka Jewellers, Baner, Pune",1200,"4.2"
1,"Anna Idli","Opposite Aman Honda Showroom, Baner Road, Baner, Pune",450,"4.6"
2,"Falahaar","Shop 3 & 4, Laxman Park, Opposite Hotel Green Park, Baner, Pune",600,"4.1"
3,"Linkin Barrel","A-501, The Capital Building, A Wing, Baner-Pashan Link Road, Baner, Pune",1300,"4.3"
4,"The K Factory","Ground Floor, IQS Tower, Opposite Kapil Malhar Building, Baner, Pune",1000,"4.2"
5,"Effingut Brewerkz","Shop 4, Deron Heights, Next to Ranka Jewellers, Baner, Pune",2400,"4.6"
6,"Flying Duck Co.","Shop 12-13, D Building, Park Grandeur, Balewadi High Street, Baner, Pune",1200,"4.5"
7,"The Funky Kona","Rajwada Chowk, Baner Main Road, Baner, Pune",1400,"4.0"
8,"Cream Stone","Shop 4-6, Ground Floor, Bhagyashree Building, Opposite Ivory Estate, Baner Road, Baner, Pune",400,"4.2"
9,"Green Park","Survey 14/B/2, Baner Road, Baner, Pune",1500,"4.0"
10,"Darshan","Amar Business Park, Baner, Pune",700,"4.6"
11,"The Urban Foundry","Shop 1, Balewadi High Street, Cummins India Office Campus, Baner-Balewadi Link Road, Baner, Pune",1500,"4.6"
12,"Agent Jack's","Rooftop, Pride Purple Accord, Opposite Veritas Deron Heights, Baner, Pune",1300,"4.1"
13,"Bhairavee Pure Veg Restaurant","Survey 263/2/1, Varsha Park, Baner, Pune",1100,"4.0"
14,"Desi Aroma","Shop 10/11, Aditi Mall, Baner Road, Baner, Pune",850,"4.1"
15,"Tea Villa Cafe","Survey 265/1, Shyam Lila, Opposite Mauli Petrol Pump, Baner Road, Baner, Pune",1000,"4.0"
16,"Maratha Samrat","MontVert Zenith Building, Opposite Kundan Garden, Beside Veritas IT Park, Baner, Pune",1100,"4.2"
17,"Gong","Shop 22/23, Balewadi High Street, Cummins India Office Campus, Baner- Balewadi Link Road, Baner, Pune",1700,"4.8"
18,"Thikana","1st Floor, Deron Heights, Above Ranka Jewellers, Baner, Pune",1300,"4.1"
19,"7 Seas Wine n Dine","Hotel Sheetal Palace, Opposite Ivory Estate, Baner Road, Baner, Pune",1200,"3.9"
0,"Desi Aroma","Shop 10/11, Aditi Mall, Baner Road, Baner, Pune",850,"4.1"
1,"Thikana","1st Floor, Deron Heights, Above Ranka Jewellers, Baner, Pune",1300,"4.1"
2,"Dadu's Sweet Emporio","Shop 3, Deron Heights, Baner, Pune",300,"4.1"
3,"Tsaai Sshen Yeh","Shop 3, Echelon Building, Baner-Sus Link Road, Baner, Pune",850,"4.1"
4,"BOX8- Desi Meals","Shop 915, Rajhans Building, Near Mane Jewellers, Baner, Pune",500,"4.1"
5,"FatCook","Opposite Aditya Shagun Society, Baner-Balewadi Road, Baner, Pune",800,"4.1"
6,"Kaar-O-Bar","4/5th Floor, Kaarobar Sai Heritage Building, Opposite Orchid School, Baner, Pune",1700,"4.1"
7,"Nawab Asia","Unit 5/6/7/8, Groundfloor, Cummin India Office Complex, Balewadi High Street, Baner, Pune",1300,"4.1"
8,"Kinki","Shop 5, Balewadi High Street, Cummins India Office Campus, Baner-Balewadi Link Road, Baner, Pune",1500,"4.1"
9,"Arthur's Theme","25, Balewadi High Street, Baner-Balewadi Link Road, Baner, Pune",1300,"4.1"
10,"Oh So Stoned","Shop 2, My World, Near Balevadi High Street, Baner, Pune",400,"4.1"
11,"Terttulia Bistro","Shop 2, Balewadi High Street, Panchshil Business Park, Balewadi-Baner Link Road, Baner, Pune",1700,"4.1"
12,"Frozen Bottle","Survey 1, Revati Arcade, Opposite K Factory, Baner, Pune",400,"4.1"
13,"The Flour Works","Plot - 5, Baner-Mahalunge Road, Behind ICICI Bank, Baner",1300,"4.1"
14,"Gourmand HogHouse","Shop 4, Achelon Society, Opposite Regent Plaza, Baner-Pashan Link Road, Baner, Pune",700,"4.1"
15,"Camios Bistro","Shop 3, Capital Building, Baner Pashan Link Road, Baner, Pune",600,"4.1"
16,"Burgertron","Gate 1, Siemens, Balevadi High Street, Baner, Pune",400,"4.1"
17,"Cafe Bake N Bean's","Shop 114/1/1/8, Hotel Imperio, Near ICICI ATM, Baner, Pune",800,"4.1"
18,"The Curious Restro Lounge","Survey 44/2/1, Vishwaguru Showroom 1, Highway Near Audi Showroom, Service Road, Baner, Pune",900,"4.1"
19,"Thikana","1995, Sushila ApartmentNear, Ghole Road, FC Road, Pune",1300,"4.1"
0,"The Tipsy Duckling","Shop 2-3, Shubhankaroti Apartment, Suvarnabaug Colony, Opposite Business Hub, Karve Road, Kothrud, Pune",1300,"4.3"
1,"The Flour Works","Commercial 3, Nirvana, North Avenue, Between Jogger&#039;s Park and ICICI Bank, Kalyani Nagar, Pune",1300,"4.1"
2,"Thikana","Kapila Matrix, Koregaon Park Annex, Mundhwa, Pune",1300,"3.9"
3,"Thikana","Shop 401-403, White Square, Hinjawadi Wakad Road, Hinjawadi, Pune",1300,"4.0"
4,"Bar Stories","2nd Floor, CityONE Mall, Opposite Empire Estate, Pune-Mumbai Highway, Pimpri, Pune",1300,"4.3"
5,"Teddy Boy","10th Floor, Deron Heights, Above Ranka Jewellers, Baner, Pune",1200,"4.2"
6,"Flying Duck Co.","Shop 12-13, D Building, Park Grandeur, Balewadi High Street, Baner, Pune",1200,"4.5"
7,"7 Seas Wine n Dine","Hotel Sheetal Palace, Opposite Ivory Estate, Baner Road, Baner, Pune",1200,"3.9"
8,"Tales & Spirits","Shop 6-8, D Building, Park Grandeur, Balewadi High Street, Baner, Pune",1200,"4.3"
9,"Post 91 - Infinity Rooftop Restaurant","Level 9, Icon Tower, Baner, Pune",1200,"3.9"
10,"The Asian Box Resto Bar","LG 1, Siddh Icon Building, Opposite Furniture Mall, Baner-Road, Baner, Pune",1200,"4.3"
11,"Fish Curry Rice","Focus Building, Near Orchid High School, Baner, Pune",1200,"4.4"
12,"Salt Kitch N Bar","Signet Corner, Opposite Orchid School, Baner  Balewadi Phata, Baner, Pune",1200,"3.8"
13,"Cream Centre","Survey 135/3, Shop 668, Balewadi Phata, Baner, Pune",1200,"3.8"
14,"Monk's & Blue's","107, 1st Floor, Deron Heights, Next To Ranka Jewellers, Varsha Park Society, Baner, Pune",1200,"3.6"
15,"Sattvam Veg","Srushti Elegance, DP Road, Balewadi Phata, Baner, Pune ",1200,"3.6"
