Sr No, Restaurant Name, Address, average_cost_for_two, Ratings
0,"Olive Wheat Grape","96 Suvarnrekha Boulevard, Prabhat Road, Erandwane, Pune",1800,"3.8"
1,"Nisarg","6/1, Opposite Padale Palace, Nalstop, Erandwane, Pune",1300,"4.2"
2,"Kalinga Restaurant & Bar","Shop 15A, Patil Arcade, Off Karve Road, Erandwane, Pune",1300,"3.8"
3,"Kavi - The Hangout Bar","70/2/B, Govind Chamber, Opposite Telephone Exchange, Karve Road, Erandwane, Pune",1300,"3.8"
4,"Level 5 Bistro and Bar","5th Floor, CTS 1365, above Kalinga Veg Gourmet Kitchen, House of Nosh, Gulawani Maharaj Path, opposite Mehendale Garage, Erandwane, Pune",1200,"4.9"
5,"Chinese Room Oriental","4/5, Continental Chambers, Karve Road, Erandwane, Pune",1200,"3.6"
6,"Woodlands Restaurant and Bar","17/2 Venkateshwara House, Near Sharda Center, Erandwane, Pune",1200,"3.5"
7,"Kwality Family Resto Bar","Survey 15/A, Saraswati Apartment Karve Road, Erandwane, Pune",1200,"3.3"
8,"Masemari - The Fishing","Erandwane, Pune",1200,"3.1"
9,"Maurya Multi Cuisine Restaurant and Bar","100 Ft DP Road, Opposite Siddhi Garden, Karve Nagar, Erandwane, Pune",1000,"3.9"
10,"K. Lounge","15 A, Patil Arcade, Off Karve Road, Erandwane, Pune",1000,"3.6"
11,"Roti Shoti Aur Kabab","Mhatre Bridge, DP Road, Erandwane, Pune",1000,"3.1"
12,"Aao Haveli Pe","Erandwana Gaothan, Erandwane, Pune",1000,"3.5"
13,"Varunraj Family Resto Bar","15/A, Saraswati Apartment, Laxmi Baug Colony, Near HP Petrol Pump, Erandwane, Pune",1000,"3.0"
14,"Fresh Off The Boat","Shop 2, Upper Ground Floor, Kedar Empire, Karve Road, Paud Phata, Erandwane, Pune",900,"4.5"
15,"Kalinga Veg Gourmet Kitchen","1st-3rd Floor, House of Nosh, CTS 1365, Gulawani Maharaj Path, Opposite Mehendale Garage, Erandwane, Pune",900,"4.5"
16,"Harvest Club","7/2, Siddhi Garden, DP Road, Near Mhatre Bridge, Erandwane, Pune",900,"3.5"
17,"Stew Art","Shop 7, Swaroop Complex, Erandwane, Karve Road, Law College Road, Pune",900,"4.2"
18,"Sholay","Shop 1, Archana Nagar Society, Gulwani Maharaj Road, Ganesh Nagar, Erandwane, Pune",900,0
19,"Shangri-La","Survey 43/8, Amar Jyot, Behind Bank of India, Off Karve Road, Erandwane, Pune",850,"3.2"
0,"The Betel Leaf","Shop 6, Minal Arcade, Building C, Near Samudra Hotel, Nal Stop, Erandwane, Pune",300,"3.9"
1,"Oye Bubbly","Shop 3, Kishori Park, Near Karnataka High School, Erandwane, Pune",200,"3.9"
2,"Hrishikesh Seafoods","Shop 143, Dattawadi, Mhatre Bridge Corner, Erandwane, Pune",450,"3.9"
3,"Vishnuji Ki Rasoi","Mhatre Bridge, Near Siddhi Garden, DP Road, Erandwane, Pune",700,"3.8"
4,"Shrinidhi's Hyderabadi Spice","Survey 11/4, Butte Bhavan, Opposite Kasat Saree Centre, Karve Road, Nal Stop, Erandwane, Pune",800,"3.8"
5,"Kalinga Restaurant & Bar","Shop 15A, Patil Arcade, Off Karve Road, Erandwane, Pune",1300,"3.8"
6,"Nitrobuzz","Plot 62, Raghuraj, Ground Floor, Indira Nagar Society, Near Mehendale Garage, Erandwane, Pune",600,"3.8"
7,"Olive Wheat Grape","96 Suvarnrekha Boulevard, Prabhat Road, Erandwane, Pune",1800,"3.8"
8,"Swami The Veg Heritage","Takshashila Hotels, Patil Road, Near Sanjeevan Hospital, Erandwane, Pune",600,"3.8"
9,"Aavees","6, Swawroop Complex, Near Kalmadi House, Karve Road, Erandwane, Pune",650,"3.8"
10,"Zannat Foods","Shop 12, Pune Mahanagar Palika Sevak Sahakar, Griharachana Akshay Sankul, Hanuman Nagar, Opposite SB Road, Erandwane, Pune",250,"3.8"
11,"Kavi - The Hangout Bar","70/2/B, Govind Chamber, Opposite Telephone Exchange, Karve Road, Erandwane, Pune",1300,"3.8"
12,"Abhishek Non Veg Restaurant","30 /1/1, Near Mehendale Garage, Erandwane, Pune",800,"3.7"
13,"Domino's Pizza","Shop 11, Padale Palace, Ground & 1st Floor, Erandwane, Pune",700,"3.7"
14,"16 Icy Rolls","Shop 5, Meenal Arcade, Nal Stop, Erandwane, Pune",300,"3.7"
15,"Sweekar Veg Restaurant","6/6, Chinoli Apartments, Karve Road, Erandwane, Pune",550,"3.7"
16,"Baba's Veg Non Veg","Shop 9, Survey 11/12, Ganesh Nagar, Erandwane, Pune",700,"3.7"
17,"Leafy Trails","21/1, Ushakal Bungalow, Swapna Mandir Society, Opposite New Karnatak High School, Bamboo Lane, Erandwane, Pune",400,"3.7"
18,"Cafe MetroMix","39/27, Shailaja Smriti Ground Floor, Lane 9, Prabhat road, Erandwane, Pune",750,"3.7"
19,"Sai Chaya Misal House","Shop 1, Surya Tower, Erandwane, Pune",150,"3.7"
0,"Shrinidhi's Hyderabadi Spice","Survey 11/4, Butte Bhavan, Opposite Kasat Saree Centre, Karve Road, Nal Stop, Erandwane, Pune",800,"3.8"
1,"Abhishek Non Veg Restaurant","30 /1/1, Near Mehendale Garage, Erandwane, Pune",800,"3.7"
2,"Woods Villa Family Restaurant","Survey 45/1, 2B 100ft D.P. Road, Next to Gharkul Lawns, Near Mhatre Bridge, Erandwane",800,"3.5"
3,"Cafe MetroMix","39/27, Shailaja Smriti Ground Floor, Lane 9, Prabhat road, Erandwane, Pune",750,"3.7"
4,"Vishnuji Ki Rasoi","Mhatre Bridge, Near Siddhi Garden, DP Road, Erandwane, Pune",700,"3.8"
5,"Domino's Pizza","Shop 11, Padale Palace, Ground & 1st Floor, Erandwane, Pune",700,"3.7"
6,"Baba's Veg Non Veg","Shop 9, Survey 11/12, Ganesh Nagar, Erandwane, Pune",700,"3.7"
7,"Cafe Coffee Day","Survey 9, Plot 884/7, Sharma Chambers, Nalstop, Erandwane, Pune",700,"2.6"
8,"Domino's Pizza","Unit 101, First Floor, Step One, Plot 48/2, Near More Vidyalaya, Mauje Erandwane, Paud Road, Kothrud, Pune",700,"3.5"
