Sr No, Restaurant Name, Address, average_cost_for_two, Ratings
"Silver Leaf","Centurion Hotel, Opposite Akashwani, Next to SSC Board, Shivaji Nagar, Pune",1200,"3.2"
"Cafe Coffee Day","Survey 813/A, Pradip Chambers, Bhandarkar Road, Shivaji Nagar, Pune",700,"3.2"
"Swara Family Restaurant","Opposite To Bal Gangadar Mandir, Shivaji Nagar, Pune",600,"3.2"
"FoodSway Caffe Express","Shop 09, Patrkar Nagar, 270 MSFC Compounds, SB Road Pune, Shivaji Nagar, Pune",300,"3.2"
"Hotel Satkar","ST Stand, Shivaji Nagar, Pune",500,"3.2"
"SG-TastyBites","1206, Shirole Road, Opposite Sambhaji Garden 2nd Gate, Shivaji Nagar, Pune",150,"3.2"
"Zen","1194/1, 29, Madhu Vrundavan Society, Morden College Road, Shivaji Nagar, Pune",1200,"3.2"
"Kunjavan - Gandharv Residency","1291, Behind Gandharv Restaurant, Off JM Road, Shivaji Nagar, Pune",800,"3.2"
"Hotel Sandeep","Railway Station Road, Opposite ST Stand, Narveer Tanaji Wadi, Shivaji Nagar, Pune",500,"3.1"
"The Cafe Corner","Opposite Hero Honda Showroom, Wakdewadi, Shivaji Nagar, Pune",300,"3.1"
"I-POT Biryani","15/A Mumbai - Pune Highway, Wakdewadi, Shivaji Nagar, Pune",450,"3.1"
"Ganesh Bhel","Opposite Fergusson College Main Road, F C Road Shivaji Nagar, Pune",300,"3.1"
"Olympia Cafe","1342/43, Near Modern Cafe, Shivaji Nagar, Pune",400,"3.1"
"The AV Foodmall","Shop 3, Bhosale Terrace, Behind Ghole Road Ward Office, Shivaji Nagar, Pune",300,"3.1"
"Annapurna","25/3, Satpute Bhavan, Shivaji Nagar, Pune",500,"3.1"
"Burgizza","Central Mall, Shivaji Nagar, Pune",350,"3.0"
"Hotel Neeta","Opposite Shivaji Nagar S.T Stand, Shivaji Nagar, Pune",400,"3.0"
"Capresso Coffee","5th Floor, Pune Central Mall, Ganeshkhind Road",300,"2.9"
"CAD (M) CAD (B)","The E-Square Hotel, Food Square, Level 2, Pune University Road, Shivaji Nagar, Pune",400,"2.9"
"The Royal Cafe & Fast Food (Arizona)","Ranjai Bunglow, Opposite ICICI Bank, Ghole Road, Shivaji Nagar, Pune",250,"2.9"
"Oriental Fusion Restaurant - Ramee Grand Hotel","Ramee Grand Hotel, Survey 587/3, Apte Road, Shivaji Nagar, Pune",1100,"3.9"
"R' ADDA","Ramee Grand Hotel, 587/3, Apte Road, Shivaji Nagar, Pune",1200,"3.9"
"The Beer Cafe","Survey 430A/1, Unit 18, Second Floor, The Pavillion, Senapati Bapat Road, Shivaji Nagar, Pune",1500,"3.9"
"Tea Villa Cafe","FC Annex Building, Shirole Road, Behind Starbucks, FC Road, Shivajinagar",1000,"3.9"
"Corn Club","6, Nirankar Apartment, 1133/5, FC Road, Pune",300,"3.9"
"Cafe Peter","Survey 1206/B, Apte Road, Shivaji Nagar, Pune",800,"3.8"
"Casablanca - Pride Hotel","Pride Hotel, University Road, Shivaji Nagar, Pune",1200,"3.8"
"Rahul Restaurant & Bar","70 MM Rahul Compound, Near Rahul Theater, Shivaji Nagar, Pune",1000,"3.8"
"It's Mirchi - Ramee Grand Hotel","Ramee Grand Hotel, 587/3, Apte Road, Shivaji Nagar, Pune",1800,"3.8"
"Sudama Bar & Restaurant","365/11, Shivaji Nagar, Pune",1000,"3.8"
"The Travel Cafe","Plot 1, CTS 405/410, Chaitanya Housing Society, SB Road, Opposite Sai Capital, Shivaji Nagar, Pune",300,"3.8"
"The 1st Floor","Survey 1133/2, FC Road, Pune",600,"3.8"
"The Burger Barn Cafe","393, Sanas Corner, Lane 5, Off South Main Road, Koregaon Park, Pune",1200,"3.8"
"Vrudheshwar Pure Veg","Vrudheshwar Ghat, Opposite Congress Bhavan, Shivaji Nagar, Pune",600,"3.7"
"Surya Hotel - Deccan Rendezvous","Deccan Rendezvous, 1202/3, Apte Road, Shivaji Nagar, Pune",1200,"3.7"
"Joshi Wadewale","1281, Off Jangali Maharaj Road, Shivaji Nagar, Pune",200,"3.7"
"Arizona Restaurant","Ranjai Bunglow, Opposite ICICI Bank, Ghole Road, Shivaji Nagar, Pune",600,"3.7"
